Adapter,InternalProduct,Exchange,Prefix,LocalTimezoneIndex,TradingExchangeZoneIndex,Currency,PointValue,MinMove,LotSize,ExchangeRateXxxUsd,DaySession,NightSession,CommissionOnRate, CommissinPerShareInXxx, MinCommissionInXxx, MaxCommissionInXxx, StampDutyRate, SlippagePoints,Product,IsCloseTodayFree,Margin,IsLive
CTP,DLa,DCE,Futures,210,210,CNY,10,1,1,0.1575,090000-101500&103000-113000&133000-150000,210000-023000,0,3,0,10000,0,2,a,FALSE,5,TRUE
CTP,SQag,SHFE,Futures,210,210,CNY,15,1,1,0.1575,090000-101500&103000-113000&133000-150000,210000-023000,0.000025,1,0,10000,0,2,ag,TRUE,8,TRUE
CTP,SQal,SHFE,Futures,210,210,CNY,5,5,1,0.1575,090000-101500&103000-113000&133000-150000,210000-010000,0,4,0,10000,0,2,al,TRUE,5,TRUE
CTP,SQau2,SHFE,Futures,210,210,CNY,1000,0.05,1,0.1575,090000-101500&103000-113000&133000-150000,210000-023000,0,6,0,10000,0,2,au,TRUE,6,TRUE
CTP,DLb,DCE,Futures,210,210,CNY,10,1,1,0.1575,090000-101500&103000-113000&133000-150000,210000-023000,0,3,0,10000,0,2,b,FALSE,5,TRUE
CTP,DLbb,DCE,Futures,210,210,CNY,500,0.05,1,0.1575,090000-101500&103000-113000&133000-150000,,0.00011,0,0,10000,0,2,bb,TRUE,20,TRUE
CTP,SQbu,SHFE,Futures,210,210,CNY,10,2,1,0.1575,090000-101500&103000-113000&133000-150000,210000-010000,0.000033,0,0,10000,0,2,bu,TRUE,8,TRUE
CTP,DLc,DCE,Futures,210,210,CNY,10,1,1,0.1575,090000-101500&103000-113000&133000-150000,,0,2.5,0,10000,0,2,c,TRUE,5,TRUE
CTP,ZZCF,CZCE,Futures,210,210,CNY,5,5,1,0.1575,090000-101500&103000-113000&133000-150000,210000-010000,0,5.3,0,10000,0,2,CF,FALSE,5,TRUE
CTP,DLcs,DCE,Futures,210,210,CNY,10,1,1,0.1575,090000-101500&103000-113000&133000-150000,,0,5,0,10000,0,2,cs,TRUE,5,TRUE
CTP,SQcu,SHFE,Futures,210,210,CNY,5,10,1,0.1575,090000-101500&103000-113000&133000-150000,210000-010000,0.000025,1,0,10000,0,2,cu,TRUE,8,TRUE
CTP,ZZER,CZCE,Futures,210,210,CNY,10,1,1,0.1575,090000-101500&103000-113000&133000-150000,,0,3,0,10000,0,2,ER,FALSE,5,TRUE
CTP,DLfb,DCE,Futures,210,210,CNY,500,0.05,1,0.1575,090000-101500&103000-113000&133000-150000,,0.00011,0,0,10000,0,2,fb,TRUE,20,TRUE
CTP,ZZFG,CZCE,Futures,210,210,CNY,20,1,1,0.1575,090000-101500&103000-113000&133000-150000,,0,2.5,0,10000,0,2,FG,TRUE,5,TRUE
CTP,SQfu,SHFE,Futures,210,210,CNY,10,1,1,0.1575,090000-101500&103000-113000&133000-150000,,0.00002,1,0,10000,0,2,fu,FALSE,20,TRUE
CTP,SQhc,SHFE,Futures,210,210,CNY,10,2,1,0.1575,090000-101500&103000-113000&133000-150000,210000-010000,0.000088,0,0,10000,0,2,hc,TRUE,6,TRUE
CTP,DLi,DCE,Futures,210,210,CNY,100,0.5,1,0.1575,090000-101500&103000-113000&133000-150000,210000-023000,0.000088,0,0,10000,0,2,i,TRUE,6,TRUE 
CTP,CSI500,CFFEX,Futures,210,210,CNY,200,0.2,1,0.1575,093000-113000&130000-150000,,0.00003,1,0,10000,0,5,IC,FALSE,40,TRUE
CTP,CSI300,CFFEX,Futures,210,210,CNY,300,0.2,1,0.1575,093000-113000&130000-150000,,0.00003,1,0,10000,0,5,IF,FALSE,40,TRUE
CTP,SSE50,CFFEX,Futures,210,210,CNY,300,0.2,1,0.1575,093000-113000&130000-150000,,0.00003,1,0,10000,0,5,IH,FALSE,40,TRUE
CTP,DLj,DCE,Futures,210,210,CNY,100,0.5,1,0.1575,090000-101500&103000-113000&133000-150000,210000-023000,0.00004,1,0,10000,0,2,j,TRUE,5,TRUE
CTP,DLjd,DCE,Futures,210,210,CNY,10,1,1,0.1575,090000-101500&103000-113000&133000-150000,,0.000165,0,0,10000,0,2,jd,FALSE,8,TRUE
CTP,DLjm,DCE,Futures,210,210,CNY,60,0.5,1,0.1575,090000-101500&103000-113000&133000-150000,210000-023000,0.00001,1,0,10000,0,2,jm,TRUE,5,TRUE
CTP,ZZJR,CZCE,Futures,210,210,CNY,20,1,1,0.1575,090000-101500&103000-113000&133000-150000,,0,3.3,0,10000,0,2,JR,TRUE,5,TRUE
CTP,DLl,DCE,Futures,210,210,CNY,5,5,1,0.1575,090000-101500&103000-113000&133000-150000,,0,3.5,0,10000,0,2,l,TRUE,5,TRUE
CTP,ZZLR,CZCE,Futures,210,210,CNY,20,1,1,0.1575,090000-101500&103000-113000&133000-150000,,0,5,0,10000,0,2,LR,TRUE,5,TRUE
CTP,DLm,DCE,Futures,210,210,CNY,10,1,1,0.1575,090000-101500&103000-113000&133000-150000,210000-023000,0,3,0,10000,0,2,m,TRUE,5,TRUE
CTP,ZZMA,CZCE,Futures,210,210,CNY,10,1,1,0.1575,090000-101500&103000-113000&133000-150000,210000-233000,0,8,0,10000,0,2,MA,TRUE,7,TRUE
CTP,ZZME,CZCE,Futures,210,210,CNY,50,1,1,0.1575,090000-101500&103000-113000&133000-150000,,0,8,0,10000,0,2,ME,TRUE,5,TRUE
CTP,MMCSI500,CFFEX,Futures,210,210,CNY,0.2,0.2,1,0.1575,093000-113000&130000-150000,,0.00003,1,0,10000,0,5,MMIC,FALSE,40,TRUE
CTP,MMCSI300,CFFEX,Futures,210,210,CNY,0.3,0.2,1,0.1575,093000-113000&130000-150000,,0.00003,1,0,10000,0,5,MMIF,FALSE,40,TRUE
CTP,MMSSE50,CFFEX,Futures,210,210,CNY,0.3,0.2,1,0.1575,093000-113000&130000-150000,,0.00003,1,0,10000,0,5,MMIH,FALSE,40,TRUE
CTP,SQni,SHFE,Futures,210,210,CNY,1,10,1,0.1575,090000-101500&103000-113000&133000-150000,,0,5,0,10000,0,2,ni,TRUE,8,TRUE
CTP,ZZOI,CZCE,Futures,210,210,CNY,10,2,1,0.1575,090000-101500&103000-113000&133000-150000,,0,2,0,10000,0,2,OI,FALSE,5,TRUE
